City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,Abu Dhabi,24.4667,54.3667,89.62,66,0,13.22,AE,2021-06-07 01:35:04
240,Kinkala,-4.3614,14.7644,71.91,82,6,3.06,CG,2021-06-07 01:39:16
241,Zhangjiakou,40.81,114.8794,74.68,34,93,13.13,CN,2021-06-07 01:35:28
242,Opotiki,-38.0833,177.2833,63.39,67,100,4.43,NZ,2021-06-07 01:39:16
243,Rio Gallegos,-51.6226,-69.2181,41.05,70,40,9.22,AR,2021-06-07 01:39:16
244,Hermanus,-34.4187,19.2345,66.9,46,3,11.86,ZA,2021-06-07 01:39:17
245,Pamplona,42.8169,-1.6432,53.65,82,0,2.3,ES,2021-06-07 01:39:17
246,Coaldale,49.7167,-112.6185,63.55,30,90,11.3,CA,2021-06-07 01:39:17
247,Sorland,67.667,12.6934,50.43,96,100,6.24,NO,2021-06-07 01:39:18
248,Margate,51.3813,1.3862,61.03,80,22,1.01,GB,2021-06-07 01:39:18
249,Kisangani,0.5167,25.2,70.25,99,100,1.25,CD,2021-06-07 01:39:18
250,Tateyama,34.9833,139.8667,75.15,86,100,3.74,JP,2021-06-07 01:39:19
251,Kidal,18.4411,1.4078,91.49,14,15,3.42,ML,2021-06-07 01:39:19
252,Kribi,2.95,9.9167,76.01,91,100,1.39,CM,2021-06-07 01:39:19
253,Rio Grande,-32.035,-52.0986,48.31,77,17,9.95,BR,2021-06-07 01:39:20
254,Castrolibero,39.3081,16.1944,61.66,86,2,4.03,IT,2021-06-07 01:39:20
255,Urumqi,43.801,87.6005,65.35,37,0,3.53,CN,2021-06-07 01:36:19
256,Dom Pedrito,-30.9828,-54.6731,49.93,83,1,10.8,BR,2021-06-07 01:37:21
257,Leningradskiy,69.3833,178.4167,43.83,64,14,17.92,RU,2021-06-07 01:39:21
258,Horsham,51.064,-0.3272,60.66,91,12,2.77,GB,2021-06-07 01:39:22
259,Mala Tokmachka,47.5356,35.8929,57.76,93,65,6.49,UA,2021-06-07 01:39:22
260,Half Moon Bay,37.4636,-122.4286,75.99,61,1,14.97,US,2021-06-07 01:35:33
261,Manuk Mangkaw,4.8,119.85,83.16,73,98,5.97,PH,2021-06-07 01:39:22
262,Victoria,22.2855,114.1577,85.96,79,72,5.01,HK,2021-06-07 01:35:49
263,Praia,14.9215,-23.5087,77.54,47,20,21.85,CV,2021-06-07 01:39:23
264,Mazagao,-0.115,-51.2894,78.85,95,11,3.98,BR,2021-06-07 01:39:23
265,Cairns,-16.9167,145.7667,78.12,75,75,10.36,AU,2021-06-07 01:39:23
266,Thinadhoo,0.5333,72.9333,82.85,73,21,11.9,MV,2021-06-07 01:35:37
267,Kalang,5.9197,121.3631,84.07,71,79,4.74,PH,2021-06-07 01:39:24
268,Inndyr,67.0338,14.0276,56.64,93,100,2.48,NO,2021-06-07 01:39:24
269,Manta,-0.95,-80.7333,73.18,83,90,10.36,EC,2021-06-07 01:39:24
270,Karakulino,56.012,53.7067,59.79,71,0,1.12,RU,2021-06-07 01:39:25
271,Luderitz,-26.6481,15.1594,66.85,33,0,12.33,NA,2021-06-07 01:38:50
272,Krasnoselkup,65.7,82.4667,37.62,65,90,12.19,RU,2021-06-07 01:39:25
273,Severo-Kurilsk,50.6789,156.125,44.06,92,100,13.96,RU,2021-06-07 01:39:25
274,Louga,58.7372,29.8453,54.19,78,88,2.77,RU,2021-06-07 01:39:26
275,Micco,27.8806,-80.5003,82.02,79,100,1.01,US,2021-06-07 01:39:26
276,Aswan,24.0934,32.907,80.15,19,0,12.28,EG,2021-06-07 01:39:26
277,Cam Ranh,11.9214,109.1591,91.36,52,20,4.0,VN,2021-06-07 01:39:27
278,Sept-Iles,50.2001,-66.3821,51.06,80,40,1.99,CA,2021-06-07 01:39:27
279,Myanaung,18.2833,95.3167,89.17,56,97,3.85,MM,2021-06-07 01:39:27
280,Escanaba,45.7453,-87.0646,80.67,77,1,9.22,US,2021-06-07 01:36:52
281,Kamina,-8.7386,24.9906,58.73,76,6,3.8,CD,2021-06-07 01:39:28
282,Micheweni,-4.9667,39.8333,77.63,77,45,16.69,TZ,2021-06-07 01:39:28
283,Souillac,-20.5167,57.5167,73.78,83,40,14.52,MU,2021-06-07 01:39:28
284,Alyangula,-13.8483,136.4192,80.47,65,39,8.84,AU,2021-06-07 01:39:29
285,Kutum,14.2,24.6667,75.09,19,15,4.0,SD,2021-06-07 01:39:29
286,Mackay,-21.15,149.2,75.04,64,90,12.66,AU,2021-06-07 01:39:29
287,Hlotse,-28.8718,28.045,36.55,76,0,3.38,LS,2021-06-07 01:39:30
288,Palmer,42.1584,-72.3287,79.41,73,64,5.46,US,2021-06-07 01:39:30
289,Newport,51.5877,-2.9984,58.44,88,24,5.03,GB,2021-06-07 01:39:30
290,Husavik,66.0449,-17.3389,48.11,73,38,6.67,IS,2021-06-07 01:39:30
291,Porto Murtinho,-21.6989,-57.8825,69.67,92,65,4.38,BR,2021-06-07 01:39:31
292,Kaeo,-35.1,173.7833,62.33,97,100,10.2,NZ,2021-06-07 01:39:31
293,Anadyr,64.75,177.4833,45.1,61,40,7.72,RU,2021-06-07 01:39:31
294,Hasaki,35.7333,140.8333,73.8,79,100,2.13,JP,2021-06-07 01:39:32
295,Imeni Poliny Osipenko,52.4201,136.4853,61.59,57,84,5.64,RU,2021-06-07 01:39:32
