City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
207,Norman Wells,CA,65.282,-126.8329,50.04,76,75,5.75,broken clouds,2021-06-07 04:46:36
208,Constitucion,CL,-35.3333,-72.4167,51.98,62,100,4.76,overcast clouds,2021-06-07 04:47:12
209,Romitan,UZ,39.9343,64.3814,91.35,29,0,15.43,clear sky,2021-06-07 04:47:37
210,Saint-Joseph,RE,-21.3667,55.6167,73.76,83,97,17.0,light rain,2021-06-07 04:47:38
211,Cochrane,CA,51.1834,-114.4687,44.24,89,90,5.79,overcast clouds,2021-06-07 04:45:02
212,Port Blair,IN,11.6667,92.75,84.24,79,75,9.22,broken clouds,2021-06-07 04:47:38
213,Santa Maria,BR,-29.6842,-53.8069,54.97,86,83,9.01,broken clouds,2021-06-07 04:47:38
214,Yaan,NG,7.3833,8.5667,73.08,95,99,4.41,overcast clouds,2021-06-07 04:47:39
215,Ponferrada,ES,42.5466,-6.5962,59.95,85,96,2.84,overcast clouds,2021-06-07 04:43:57
216,Nerchinskiy Zavod,RU,51.3088,119.61,76.89,34,3,7.65,clear sky,2021-06-07 04:47:39
217,Savannah Bight,HN,16.45,-85.85,82.0,84,8,26.08,clear sky,2021-06-07 04:47:39
218,Voh,NC,-20.9667,164.7,72.91,60,98,10.38,overcast clouds,2021-06-07 04:47:40
219,Liling,CN,27.6667,113.5,93.09,47,76,2.62,broken clouds,2021-06-07 04:47:40
220,Livramento,BR,-3.0254,-60.1803,79.47,100,0,2.75,light rain,2021-06-07 04:47:40
221,San Blas,MX,21.5167,-105.2667,79.14,76,38,3.02,scattered clouds,2021-06-07 04:47:41
222,Mingguang,CN,32.7802,117.9638,93.7,23,100,11.74,overcast clouds,2021-06-07 04:47:41
223,Matagami,CA,49.7502,-77.6328,73.51,68,1,11.9,clear sky,2021-06-07 04:47:41
224,Trelew,AR,-43.249,-65.3051,45.61,62,73,11.12,broken clouds,2021-06-07 04:47:42
225,Charters Towers,AU,-20.1,146.2667,73.94,52,76,16.87,broken clouds,2021-06-07 04:47:42
226,Kargat,RU,55.1956,80.2811,70.92,53,11,9.46,few clouds,2021-06-07 04:47:42
227,Whitehorse,CA,60.7161,-135.0538,56.17,47,75,8.05,moderate rain,2021-06-07 04:47:43
228,Charleville-Mezieres,FR,49.7667,4.7167,58.77,89,76,4.61,broken clouds,2021-06-07 04:45:19
229,Lodwar,KE,3.1191,35.5973,81.27,49,65,13.18,broken clouds,2021-06-07 04:47:43
230,Mae Sai,TH,20.4335,99.8762,90.45,63,100,3.33,overcast clouds,2021-06-07 04:47:44
231,Cabo San Lucas,MX,22.8909,-109.9124,86.81,63,24,12.44,few clouds,2021-06-07 04:47:44
232,Ansbach,DE,49.3,10.5833,61.93,94,90,5.75,mist,2021-06-07 04:47:44
233,Zhanakorgan,KZ,43.9098,67.2495,93.76,20,0,4.21,clear sky,2021-06-07 04:47:45
234,Ilulissat,GL,69.2167,-51.1,37.42,81,0,0.0,clear sky,2021-06-07 04:46:30
235,Alamogordo,US,32.8995,-105.9603,85.01,23,40,8.05,scattered clouds,2021-06-07 04:47:45
236,Astoria,US,46.1879,-123.8313,51.94,86,90,3.0,overcast clouds,2021-06-07 04:47:45
237,Poum,NC,-20.2333,164.0167,73.72,61,99,17.2,overcast clouds,2021-06-07 04:47:43
238,Half Moon Bay,US,37.4636,-122.4286,62.51,73,20,1.01,haze,2021-06-07 04:45:02
239,Disna,BY,55.568,28.1971,61.47,86,19,6.11,light rain,2021-06-07 04:47:46
240,Bida,NG,9.0833,6.0167,73.83,94,44,2.01,scattered clouds,2021-06-07 04:47:46
241,Esperance,AU,-33.8667,121.9,58.84,63,81,24.25,broken clouds,2021-06-07 04:47:47
242,Barrow,US,71.2906,-156.7887,32.02,86,90,13.8,overcast clouds,2021-06-07 04:47:47
243,Kiunga,PG,-6.1219,141.2906,82.17,85,98,3.02,overcast clouds,2021-06-07 04:47:33
244,Kankakee,US,41.15,-87.8667,77.02,79,1,6.91,clear sky,2021-06-07 04:47:48
245,Puerto Parra,CO,6.6515,-74.0573,73.9,98,100,2.53,overcast clouds,2021-06-07 04:47:48
246,Bonfim,BR,3.0833,-59.95,75.06,86,43,9.26,scattered clouds,2021-06-07 04:47:36
247,Lebu,CL,-37.6167,-73.65,47.43,81,99,8.08,overcast clouds,2021-06-07 04:47:48
248,Vao,NC,-22.6667,167.4833,69.71,62,28,14.99,scattered clouds,2021-06-07 04:47:48
249,Taltal,CL,-25.4,-70.4833,59.47,78,1,2.42,clear sky,2021-06-07 04:47:49
250,Provideniya,RU,64.3833,-173.3,41.11,65,75,8.95,broken clouds,2021-06-07 04:46:39
251,Namatanai,PG,-3.6667,152.4333,83.62,69,71,5.75,light rain,2021-06-07 04:47:49
252,Saint-Paul,RE,-21.0096,55.2707,75.29,74,18,11.21,few clouds,2021-06-07 04:47:49
253,Irbeyskoye,RU,55.6428,95.4522,65.25,64,99,14.99,overcast clouds,2021-06-07 04:47:50
254,Trinidad,BO,-14.8333,-64.9,69.93,92,81,3.8,broken clouds,2021-06-07 04:47:50
255,Price,US,39.5994,-110.8107,81.66,12,1,4.61,clear sky,2021-06-07 04:46:37
256,Tual,ID,-5.6667,132.75,81.3,79,80,12.97,broken clouds,2021-06-07 04:47:51
257,Andra,RU,62.5147,65.8878,52.68,33,78,4.81,broken clouds,2021-06-07 04:47:51
